TIME;DAY;DATE;LEAGUE;HOME;AWAY;MATCH_ID;1;X;2;0-2;2+;3+;GG;IGG;GG&3+
11:30;Sub;25.10.;TAJ1;Chiangrai Utd;Kanchanaburi;501;2.15;3.3;3.15;1.7;1.35;2.05;1.85;4.85;2.32
11:30;Sub;25.10.;TAJ2;Police Tero;Khonkaen Utd.;499;2.6;3.5;2.28;2.0;1.23;1.73;1.63;3.95;1.95
11:30;Sub;25.10.;TUR3;Adana;Muglaspor;501;2.55;2.95;2.6;1.7;1.35;2.05;1.8;4.75;2.25
11:30;Sub;25.10.;TUR4;Etimesgut;Galata;501;2.2;3.0;3.15;1.55;1.43;2.27;1.97;5.4;2.55
11:30;Sub;25.10.;TUR4;Kirikkale;Erciyes 38;500;2.32;3.2;2.7;1.83;1.28;1.87;1.7;4.35;2.08
11:30;Sub;25.10.;UZB1;Shortan Guzor;Neftchi Fargona;499;7.0;4.15;1.38;1.85;1.27;1.85;2.15;5.5;2.55
11:45;Sub;25.10.;MLZ1;Kuching City FC;Penang;499;1.45;4.45;6.1;2.25;1.17;1.58;1.75;4.2;2.0
12:00;Sub;25.10.;ŠPA1;Girona;Oviedo;3542;1.83;3.5;4.8;1.75;1.38;2.1;1.95;5.45;2.55
12:00;Sub;25.10.;AFCCL;Al Shabab;Paro;501;1.7;3.75;4.3;2.25;1.17;1.57;1.58;3.75;1.82
12:00;Sub;25.10.;AUT3;Sportunion Mauer;Neusiedl;501;2.15;3.65;2.7;2.3;1.16;1.55;1.5;3.5;1.75
12:00;Sub;25.10.;AUT3;Bischofshofen;SC Imst;499;2.3;3.5;2.55;2.0;1.22;1.72;1.62;3.95;1.93
12:00;Sub;25.10.;AUT3;Kitzbuhel;Kufstein;501;1.88;3.65;3.3;2.18;1.18;1.6;1.57;3.7;1.83
12:00;Sub;25.10.;AZE1;Araz;Sabah Baku;501;3.35;3.1;2.15;1.6;1.4;2.2;1.93;5.2;2.45
12:00;Sub;25.10.;BIH2;Drina Zvornik;Romanija Pale;;1.43;3.7;7.1;1.75;1.31;1.95;2.1;;
12:00;Sub;25.10.;BIH2;FK Vlasenica;Slavija Sarajevo;;2.13;3.3;2.95;1.73;1.32;1.98;1.82;;
